,PassengerId,Name,Age,HomePlanet
0,0001_01,Maham Ofracculy,39.0,Europa
1,0002_01,Juanna Vines,24.0,Earth
2,0003_01,Altark Susent,58.0,Europa
3,0003_02,Solam Susent,33.0,Europa
4,0004_01,Willy Santantines,16.0,Earth
5,0005_01,Sandie Hinetthews,44.0,Earth
6,0006_01,Billex Jacostaffey,26.0,Earth
7,0006_02,Candra Jacostaffey,28.0,Earth
8,0007_01,Andona Beston,35.0,Earth
9,0008_01,Erraiam Flatic,14.0,Europa
10,0008_02,Altardr Flatic,34.0,Europa
11,0008_03,Wezena Flatic,45.0,Europa
12,0009_01,Berers Barne,32.0,Mars
13,0010_01,Reney Baketton,48.0,Earth
14,0011_01,Elle Bertsontry,28.0,Earth
15,0012_01,Justie Pooles,31.0,Earth
16,0014_01,Flats Eccle,27.0,Mars
17,0015_01,Carry Hughriend,24.0,Earth
18,0016_01,Alus Upead,45.0,Mars
19,0017_01,Lyde Brighttt,0.0,Earth
20,0017_02,Philda Brighttt,14.0,Earth
21,0020_01,Almary Brantuarez,1.0,Earth
22,0020_02,Glendy Brantuarez,49.0,Earth
23,0020_03,Mollen Mcfaddennon,29.0,Earth
24,0020_04,Breney Jacostanley,10.0,Earth
25,0020_05,Mael Brantuarez,1.0,Earth
26,0020_06,Terta Mcfaddennon,7.0,Earth
27,0022_01,,21.0,Mars
28,0024_01,Penton Fullided,62.0,Europa
29,0025_01,Karard Brookenson,15.0,Earth
30,0026_01,Anyoni Unconary,34.0,Europa
31,0028_01,Ceros Mare,43.0,Mars
32,0030_01,Ginia Morsentley,32.0,Earth
33,0031_01,Coobix Datie,47.0,Mars
34,0031_02,Cinets Datie,2.0,Mars
35,0031_03,Dontch Datie,20.0,Mars
36,0034_01,Ziba Oingwhedly,28.0,Europa
37,0035_01,Luse Butte,23.0,Mars
38,0036_01,Marina Leodger,15.0,Earth
39,0038_01,Loise Wheelez,20.0,Earth
40,0039_01,Jorgie Batthewitt,30.0,Earth
41,0041_01,Margia Moodsey,17.0,Earth
42,0043_01,Ankalik Cylistrand,45.0,Europa
43,0044_01,Jodye Coopelandez,55.0,Earth
44,0044_02,Kayne Coopelandez,4.0,Earth
45,0044_03,Cassa Coopelandez,21.0,Earth
46,0045_01,Zelowl Chmad,21.0,Mars
47,0045_02,Mass Chmad,19.0,Mars
48,0050_01,Sony Lancis,35.0,Earth
49,0051_01,Vivia Johnshines,56.0,Earth
50,0052_01,Elaney Hubbarton,,Earth
51,0053_01,Elson Hickerson,25.0,Earth
52,0056_01,Okulas Tractive,2.0,Europa
53,0056_02,Instab Tractive,38.0,Europa
54,0056_03,Zinoces Tractive,27.0,Europa
55,0058_01,Warry Ayalazquez,36.0,Earth
56,0061_01,Shanya Salez,22.0,Earth
57,0062_01,Sterry Greeves,62.0,Earth
58,0064_01,,15.0,Mars
59,0064_02,Colatz Keen,33.0,
60,0066_01,Diandy Pecketton,62.0,Earth
61,0067_01,Ninaha Leeves,0.0,Earth
62,0067_02,Celine Leeves,18.0,Earth
63,0067_03,Velyne Leeves,21.0,Earth
64,0068_01,Cinst Binie,,Mars
65,0069_01,,42.0,Earth
66,0070_01,Meremy Brighttt,19.0,Earth
67,0071_01,Nelly Dillines,17.0,Earth
68,0072_01,Thell Brantuarez,14.0,Earth
69,0073_01,Gorn Make,37.0,Mars
70,0074_01,Aldibah Mostedry,42.0,Europa
71,0076_01,Conk Dal,27.0,Mars
72,0077_01,Pon Blité,28.0,Mars
73,0078_01,Spuri Pokerheed,38.0,Europa
74,0081_01,Dellie Vinozarks,13.0,Earth
75,0082_01,Totse Datte,42.0,Mars
76,0082_02,Eaturs Datte,2.0,Mars
77,0082_03,,8.0,Mars
78,0084_01,Coren Coopezmaney,24.0,Earth
79,0085_01,Furudah Ellcefulve,40.0,Europa
80,0086_01,Jodye Kinson,43.0,Earth
81,0088_01,Stmeal Sacre,45.0,Mars
82,0090_01,Heremy Santry,35.0,Earth
83,0091_01,Deanne Yorkland,26.0,Earth
84,0091_02,Tinez Yorkland,27.0,Earth
85,0092_01,Gracy Dunnisey,19.0,Earth
86,0092_02,Stald Hewson,0.0,Earth
87,0092_03,Tiney Hewson,3.0,Earth
88,0097_01,Alchium Fictful,54.0,Europa
89,0098_01,Doria Carezquez,26.0,Earth
90,0098_02,Leence Carezquez,26.0,Earth
91,0099_01,Aliey Leetersoney,23.0,Earth
92,0099_02,Thewis Connelson,2.0,Earth
93,0101_01,Book Trad,31.0,Mars
94,0102_01,Ritany Holson,18.0,Earth
95,0103_01,Arlen Mclainez,24.0,Earth
96,0103_02,Shaele Mclainez,9.0,Earth
97,0103_03,Fanne Mclainez,6.0,Earth
98,0105_01,Carry Cleachrand,27.0,Earth
99,0107_01,Coobix Hart,21.0,Mars
100,0108_01,Natald Handertiz,23.0,Earth
101,0108_02,,31.0,Earth
102,0108_03,Oline Handertiz,0.0,Earth
103,0110_01,Graviph Aloubtled,32.0,Europa
104,0110_02,Aldeba Bootious,40.0,Europa
105,0110_03,Alaratz Aloubtled,42.0,Europa
106,0110_04,Izark Aloubtled,28.0,Europa
107,0111_01,Aldera Supred,29.0,Europa
108,0112_01,Moth Cowtale,48.0,Europa
109,0113_01,Idary Carvis,64.0,Earth
110,0114_01,Maura Beckerson,27.0,Earth
111,0115_01,Rohs Pead,26.0,Mars
112,0116_01,Alhenah Suptive,33.0,Europa
113,0119_01,Batan Coning,39.0,
114,0119_02,Kleeiak Coning,13.0,Europa
115,0120_01,Bees Sacre,24.0,Mars
116,0122_01,Shelle Hayder,29.0,Earth
117,0123_01,Iree Fielson,18.0,Earth
118,0126_01,Milly Mish,67.0,Mars
119,0127_01,Miloss Mesty,35.0,Mars
120,0128_01,Grohs Fles,61.0,Mars
121,0128_02,Barave Fles,45.0,Mars
122,0129_01,Race Fowles,22.0,Earth
123,0133_01,Flynx Blie,19.0,Mars
124,0133_02,Egrasp Blie,36.0,Mars
125,0134_01,Camina Harmontry,19.0,Earth
126,0136_01,,47.0,Earth
127,0138_01,Fayene Gambs,13.0,Earth
128,0138_02,Monah Gambs,34.0,Earth
129,0139_01,Charda Myling,35.0,Europa
130,0140_01,Evaley Mejiaddox,24.0,Earth
131,0140_02,Verney Whitakers,26.0,Earth
132,0141_01,Pyrohs Harte,31.0,Mars
133,0144_01,Guadae Dayers,20.0,Earth
134,0146_01,Verly Wolferguson,56.0,Earth
135,0147_01,Samie Hubbarrison,50.0,Earth
136,0148_01,Corsh Pashe,42.0,Mars
137,0149_01,Billya Hubbarrison,,Earth
138,0151_01,Shanie Simson,38.0,Earth
139,0152_01,Andan Estron,41.0,Earth
140,0160_01,Gory Atkinney,22.0,Earth
141,0163_01,Kabiton Hetforhaft,26.0,Europa
142,0163_02,Scharab Hetforhaft,17.0,Europa
143,0164_01,Fany Hutchinton,57.0,Earth
144,0164_02,Ianya Hutchinton,17.0,Earth
145,0165_01,Graven Anche,35.0,Mars
146,0167_01,Miten Floaf,13.0,Mars
147,0167_02,Rios Floaf,27.0,Mars
148,0169_01,Wandy Fisherry,31.0,Earth
149,0170_01,Mollie Mcmahoney,24.0,Earth
150,0171_01,Coracy Gordanieves,19.0,Earth
151,0172_01,Hanna Johnshines,32.0,Earth
152,0173_01,Hilip Grifford,58.0,Earth
153,0174_01,Doryn Lambles,21.0,Earth
154,0177_01,Toperon Iniouser,38.0,Europa
155,0178_01,Wees Knik,38.0,Mars
156,0179_01,Elaney Webstephrey,19.0,Earth
157,0179_02,Raque Webstephrey,0.0,Earth
158,0179_03,Sallyl Webstephrey,3.0,Earth
159,0181_01,Nancis Brighttt,20.0,Earth
160,0182_01,Ksorab Disight,24.0,Europa
161,0183_01,Stany Weaves,37.0,Earth
162,0186_01,Camiet Shephendry,25.0,Earth
163,0188_01,Branda Romez,56.0,Earth
164,0189_01,Helly Booters,49.0,Earth
165,0190_01,,11.0,Earth
166,0192_01,Tance Adavisons,1.0,Earth
167,0192_02,Robyny Adavisons,8.0,Earth
168,0192_03,Lilace Adavisons,39.0,Earth
169,0193_01,Sps Raf,2.0,Mars
170,0193_02,Frook Raf,23.0,Mars
171,0193_03,Goles Raf,0.0,Mars
172,0195_01,Bar Floaf,39.0,Mars
173,0196_01,Caper Emead,25.0,Mars
174,0197_01,Astrak Dissper,36.0,Europa
175,0198_01,Jeroy Cookson,52.0,Earth
176,0199_01,Regana Morrows,18.0,Earth
177,0200_01,Elia Colomonson,15.0,Earth
178,0201_01,Kaffias Bacistion,35.0,Europa
179,0201_02,Edaruma Bacistion,47.0,Europa
180,0202_01,Pomera Embleng,45.0,Europa
181,0202_02,Vegas Embleng,,Europa
182,0203_01,Ancham Heateele,51.0,Europa
183,0205_01,Carma Oneiles,29.0,Earth
184,0206_01,Nuson Brugashed,,Europa
185,0207_01,Thony Mcfaddennon,19.0,Earth
186,0210_01,Arraid Inicont,24.0,
187,0211_01,Pebuts Appie,29.0,Mars
188,0211_02,Corsh Appie,11.0,Mars
189,0211_03,Picers Date,17.0,Mars
190,0212_01,Inen Workmans,13.0,Earth
191,0212_02,Shally Workmans,35.0,Earth
192,0213_01,Carita Navages,21.0,Earth
193,0216_01,Searla Garnes,21.0,Earth
194,0217_01,Prilly Shieldson,38.0,Earth
195,0219_01,Nica River,19.0,Earth
196,0220_01,Tyle Wilsoney,2.0,Earth
197,0220_02,Wena Wilsoney,0.0,Earth
198,0220_03,Branca Wilsoney,13.0,Earth
199,0220_04,Dont Wilsoney,25.0,Earth
200,0220_05,Velyne Wilsoney,16.0,Earth
